Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1515,Matej Maglica,CRO,DF,Darmstadt 98,de Bundesliga,25-218,1998,16.5,67.3,6.97,33.8,30.2,3.70,0.79,67.3,0.24,0.06,25.0,0.18,75.0,34.1,165.1,88.7,0.67,0.61,0.06,0.36,0.30,41.0,0.24,https://fbref.com/en/players/36cf2caf/Matej-Maglica,36cf2caf,Big 5 combined
1516,Giangiacomo Magnani,ITA,DF,Hellas Verona,it Serie A,28-209,1995,25.0,48.4,6.56,23.9,22.8,1.88,0.52,48.4,0.48,0.28,58.3,0.08,16.7,25.0,127.5,66.7,0.60,0.52,0.12,0.56,0.12,25.7,0.40,https://fbref.com/en/players/cce9f582/Giangiacomo-Magnani,cce9f582,Big 5 combined
1517,Hugo Magnetti,FRA,MF,Brest,fr Ligue 1,25-336,1998,23.0,51.5,1.13,9.26,30.3,12.9,0.83,51.5,1.65,1.13,68.4,0.43,26.3,37.4,193.7,72.6,1.30,1.52,0.22,1.13,0.78,33.7,2.30,https://fbref.com/en/players/d4d35152/Hugo-Magnetti,d4d35152,Big 5 combined
1518,Yohann Magnin,FRA,MF,Clermont Foot,fr Ligue 1,26-314,1997,15.9,56.4,1.95,13.0,33.5,10.4,1.70,56.4,0.57,0.19,33.3,0.31,55.6,37.2,177.9,60.4,0.82,0.82,0.13,2.08,0.69,35.0,2.52,https://fbref.com/en/players/caa7aaea/Yohann-Magnin,caa7aaea,Big 5 combined
1519,Frank Magri,CMR,"FW,MF",Toulouse,fr Ligue 1,24-239,1999,15.5,32.3,1.23,3.61,12.7,16.5,4.00,32.3,2.26,0.84,37.1,1.16,51.4,23.1,148.6,56.2,1.94,1.10,0.71,2.39,1.55,22.5,7.55,https://fbref.com/en/players/42fdb11d/Frank-Magri,42fdb11d,Big 5 combined
1520,Harry Maguire,ENG,DF,Manchester Utd,eng Premier League,31-056,1993,18.4,71.4,10.9,34.0,32.8,4.84,1.96,71.4,0.11,0.00,0.0,0.11,100.0,38.2,252.1,150.6,1.09,0.71,0.11,0.49,0.11,42.5,0.11,https://fbref.com/en/players/d8931174/Harry-Maguire,d8931174,Big 5 combined
1521,Jon Magunacelaya,ESP,"FW,MF",Real Sociedad,es La Liga,23-292,2000,1.3,52.3,1.54,9.23,23.1,20.0,4.62,52.3,3.85,1.54,40.0,1.54,40.0,25.4,111.5,63.8,1.54,1.54,0.00,2.31,1.54,30.0,7.69,https://fbref.com/en/players/d4808594/Jon-Magunacelaya,d4808594,Big 5 combined
1522,Adel Mahamoud,COM,FW,Nantes,fr Ligue 1,21-086,2003,0.1,50.0,0.00,0.00,30.0,20.0,0.00,50.0,10.0,10.0,100.0,0.00,0.0,30.0,120.0,40.0,0.00,0.00,0.00,10.0,0.00,20.0,10.0,https://fbref.com/en/players/69c9532c/Adel-Mahamoud,69c9532c,Big 5 combined
1523,Arne Maier,GER,MF,Augsburg,de Bundesliga,25-113,1999,8.7,64.5,1.49,8.28,29.8,27.0,2.30,64.5,2.07,1.15,55.6,0.92,44.4,33.3,149.1,60.3,1.49,0.80,0.46,1.15,0.80,39.4,6.09,https://fbref.com/en/players/ab700320/Arne-Maier,ab700320,Big 5 combined
1524,Habib Maïga,CIV,"MF,FW",Metz,fr Ligue 1,28-120,1996,1.6,51.3,3.13,16.3,27.5,8.75,1.25,51.3,0.00,0.00,,0.00,,28.8,164.4,69.4,0.63,1.25,0.00,1.25,1.25,26.3,0.63,https://fbref.com/en/players/e768de1f/Habib-Maiga,e768de1f,Big 5 combined
1525,Mike Maignan,FRA,GK,Milan,it Serie A,28-302,1995,29.0,44.3,33.1,44.2,0.17,0.00,0.00,44.3,0.03,0.03,100.0,0.00,0.0,30.1,164.9,111.2,0.00,0.00,0.00,0.03,0.00,25.2,0.00,https://fbref.com/en/players/fcb38f57/Mike-Maignan,fcb38f57,Big 5 combined
1526,Linton Maina,GER,"FW,MF",Köln,de Bundesliga,24-312,1999,18.6,38.5,0.65,5.16,15.4,19.2,3.55,38.5,2.96,1.08,36.4,1.67,56.4,27.6,232.3,119.1,4.89,2.90,1.88,1.99,1.40,27.5,7.63,https://fbref.com/en/players/e5d85da8/Linton-Maina,e5d85da8,Big 5 combined
1527,Patrick Mainka,GER,DF,Heidenheim,de Bundesliga,29-176,1994,31.0,57.9,7.58,33.0,22.8,2.48,1.32,57.9,0.52,0.29,56.3,0.19,37.5,29.9,187.9,109.8,0.90,0.45,0.00,0.39,0.16,31.4,0.16,https://fbref.com/en/players/dd9caa07/Patrick-Mainka,dd9caa07,Big 5 combined
1528,Kobbie Mainoo,ENG,MF,Manchester Utd,eng Premier League,19-011,2005,17.6,49.3,3.07,14.5,25.3,10.1,1.19,49.3,2.44,1.25,51.2,0.91,37.2,29.8,136.2,63.2,0.80,0.91,0.28,1.42,1.14,34.4,1.36,https://fbref.com/en/players/c6220452/Kobbie-Mainoo,c6220452,Big 5 combined
1529,Ainsley Maitland-Niles,ENG,"DF,MF",Lyon,fr Ligue 1,26-245,1997,15.2,58.8,3.29,16.6,24.7,18.3,2.57,58.8,2.11,0.99,46.9,0.92,43.8,39.0,217.2,102.0,1.71,1.64,0.39,0.92,0.72,35.5,5.26,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,e3a5814e,Big 5 combined
1530,Radosław Majecki,POL,GK,Monaco,fr Ligue 1,24-166,1999,9.0,34.0,29.9,33.8,0.22,0.00,0.00,34.0,0.00,0.00,,0.00,,23.4,134.0,77.4,0.00,0.00,0.00,0.00,0.00,13.1,0.00,https://fbref.com/en/players/20de219a/Radoslaw-Majecki,20de219a,Big 5 combined
1531,Lovro Majer,CRO,MF,Rennes,fr Ligue 1,26-104,1998,0.2,100.0,5.00,30.0,45.0,30.0,10.0,100.0,5.00,5.00,100.0,0.00,0.0,85.0,655.0,290.0,5.00,0.00,5.00,5.00,0.00,80.0,5.00,https://fbref.com/en/players/fc46aab1/Lovro-Majer,fc46aab1,Big 5 combined
1532,Lovro Majer,CRO,"MF,FW",Wolfsburg,de Bundesliga,26-104,1998,20.4,52.8,0.59,6.86,24.5,22.2,2.79,52.7,2.21,1.03,46.7,0.88,40.0,32.2,191.0,80.5,2.50,1.32,0.44,2.45,1.13,37.8,6.27,https://fbref.com/en/players/fc46aab1/Lovro-Majer,fc46aab1,Big 5 combined
1533,Jean-Victor Makengo,FRA,"MF,FW",Lorient,fr Ligue 1,25-323,1998,5.3,64.0,2.08,14.2,35.7,15.1,0.57,64.0,2.64,0.94,35.7,1.51,57.1,51.9,306.0,140.4,2.08,1.32,0.00,1.51,2.08,48.7,3.21,https://fbref.com/en/players/22bfb57e/Jean-Victor-Makengo,22bfb57e,Big 5 combined
1534,Jordy Makengo,FRA,DF,Freiburg,de Bundesliga,22-271,2001,9.9,54.5,3.94,16.8,23.9,14.4,0.51,54.5,2.42,1.01,41.7,1.01,41.7,26.5,162.4,84.5,2.53,1.82,0.30,1.31,0.51,30.7,3.33,https://fbref.com/en/players/14b09c41/Jordy-Makengo,14b09c41,Big 5 combined
1535,Antoine Makoumbou,CGO,MF,Cagliari,it Serie A,25-287,1998,29.0,48.0,1.97,11.2,28.7,8.55,0.34,48.0,1.17,0.69,58.8,0.28,23.5,29.5,162.0,70.0,1.28,0.90,0.03,1.03,1.00,33.7,1.76,https://fbref.com/en/players/f37f3522/Antoine-Makoumbou,f37f3522,Big 5 combined
1536,Nemanja Maksimović,SRB,MF,Getafe,es La Liga,29-095,1995,31.4,38.0,2.52,8.85,20.6,8.79,1.66,38.0,0.38,0.13,33.3,0.22,58.3,15.4,68.3,33.6,0.57,0.73,0.06,0.61,0.19,18.7,0.99,https://fbref.com/en/players/00b28772/Nemanja-Maksimovic,00b28772,Big 5 combined
1537,Julián Malatini,ARG,DF,Werder Bremen,de Bundesliga,22-335,2001,6.7,67.2,5.97,29.6,32.2,5.52,0.90,67.2,1.04,0.90,85.7,0.15,14.3,37.9,189.7,86.3,1.34,0.60,0.00,1.64,0.45,40.3,1.04,https://fbref.com/en/players/8b84b707/Julian-Malatini,8b84b707,Big 5 combined
1538,Daniel Maldini,ITA,"MF,FW",Monza,it Serie A,22-202,2001,3.7,43.0,0.54,5.68,20.0,19.2,3.51,43.0,5.14,2.43,47.4,1.89,36.8,27.3,208.1,113.2,4.05,1.89,1.89,3.24,1.35,33.2,5.95,https://fbref.com/en/players/801831fe/Daniel-Maldini,801831fe,Big 5 combined
1539,Daniel Maldini,ITA,"FW,MF",Empoli,it Serie A,22-202,2001,2.9,46.6,0.34,3.45,22.8,21.7,2.76,46.6,5.86,2.41,41.2,3.45,58.8,23.4,157.2,67.9,2.41,2.41,0.69,3.79,1.72,30.0,3.45,https://fbref.com/en/players/801831fe/Daniel-Maldini,801831fe,Big 5 combined
1540,Youssef Maleh,MAR,MF,Empoli,it Serie A,25-252,1998,25.8,46.6,1.86,11.2,23.9,12.1,1.01,46.6,0.54,0.27,50.0,0.23,42.9,21.7,95.6,45.1,0.58,0.89,0.12,1.36,0.58,26.8,2.29,https://fbref.com/en/players/4c8845f7/Youssef-Maleh,4c8845f7,Big 5 combined
1541,Donyell Malen,NED,"FW,MF",Dortmund,de Bundesliga,25-112,1999,18.3,39.5,0.49,3.93,12.7,23.6,5.85,39.5,4.97,2.24,45.1,2.08,41.8,26.8,189.6,94.8,3.61,2.40,2.24,2.73,1.80,31.0,7.92,https://fbref.com/en/players/116c35df/Donyell-Malen,116c35df,Big 5 combined
1542,Ruslan Malinovskyi,UKR,MF,Genoa,it Serie A,30-362,1993,16.4,51.6,1.59,11.2,29.2,12.0,0.18,51.6,1.59,0.61,38.5,0.73,46.2,31.2,187.0,80.8,1.40,1.65,0.00,1.28,1.10,35.5,1.83,https://fbref.com/en/players/48d5bd33/Ruslan-Malinovskyi,48d5bd33,Big 5 combined
1543,Lennard Maloney,USA,MF,Heidenheim,de Bundesliga,24-205,1999,24.1,48.3,4.15,16.8,27.4,4.44,0.79,48.3,0.29,0.25,85.7,0.04,14.3,20.5,88.9,30.1,0.12,0.29,0.00,0.83,0.46,23.2,0.71,https://fbref.com/en/players/75402e99/Lennard-Maloney,75402e99,Big 5 combined
1544,Aaron Malouda,FRA,FW,Lille,fr Ligue 1,18-152,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/4fe2648c/Aaron-Malouda,4fe2648c,Big 5 combined
1545,Giorgi Mamardashvili,GEO,GK,Valencia,es La Liga,23-214,2000,32.0,32.6,27.7,32.4,0.16,0.00,0.00,32.6,0.00,0.00,,0.00,,16.8,94.7,53.0,0.00,0.00,0.00,0.09,0.00,11.3,0.00,https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,d4b73232,Big 5 combined
1546,David Mamutovic,GER,"FW,DF",Mainz 05,de Bundesliga,23-147,2000,0.1,120.0,0.00,20.0,70.0,30.0,0.00,120.0,0.00,0.00,,0.00,,70.0,190.0,50.0,0.00,0.00,0.00,0.00,0.00,90.0,0.00,https://fbref.com/en/players/7c24eaf8/David-Mamutovic,7c24eaf8,Big 5 combined
1547,Wilson Manafá,POR,"DF,MF",Granada,es La Liga,29-282,1994,2.7,61.1,1.48,24.4,25.2,12.2,0.00,61.1,3.33,2.22,66.7,1.11,33.3,32.2,178.1,89.3,1.85,1.11,0.00,1.85,0.74,31.1,2.22,https://fbref.com/en/players/e27fdbca/Wilson-Manafa,e27fdbca,Big 5 combined
1548,Hianga Mananga Mbock,FRA,"MF,FW",Brest,fr Ligue 1,24-124,1999,0.1,100.0,0.00,0.00,50.0,50.0,10.0,100.0,0.00,0.00,,0.00,,70.0,780.0,650.0,10.0,20.0,0.00,0.00,0.00,70.0,0.00,https://fbref.com/en/players/0f86995c/Hianga-Mananga-Mbock,0f86995c,Big 5 combined
1549,Gianluca Mancini,ITA,DF,Roma,it Serie A,28-013,1996,29.8,71.4,7.72,31.3,35.1,5.44,0.91,71.4,0.13,0.10,75.0,0.03,25.0,45.4,217.8,141.8,1.17,1.41,0.00,0.17,0.34,54.2,0.44,https://fbref.com/en/players/5aa53281/Gianluca-Mancini,5aa53281,Big 5 combined
1550,Marco Mancosu,ITA,"MF,FW",Cagliari,it Serie A,35-252,1988,1.7,47.6,0.00,4.71,25.3,17.6,2.35,47.1,3.53,1.76,50.0,1.76,50.0,29.4,128.8,58.2,2.35,1.18,0.00,1.76,1.76,32.9,6.47,https://fbref.com/en/players/2c3a6c21/Marco-Mancosu,2c3a6c21,Big 5 combined
1551,Steve Mandanda,FRA,GK,Rennes,fr Ligue 1,39-033,1985,31.0,38.4,29.4,38.0,0.45,0.00,0.00,38.4,0.03,0.03,100.0,0.00,0.0,27.2,131.1,74.5,0.00,0.03,0.03,0.03,0.00,19.1,0.00,https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda,1d2d5cc8,Big 5 combined
1552,Christos Mandas,GRE,GK,Lazio,it Serie A,22-226,2001,6.0,34.3,28.3,33.8,0.50,0.00,0.00,34.3,0.33,0.33,100.0,0.00,0.0,21.2,117.2,59.5,0.00,0.00,0.00,0.00,0.00,20.3,0.00,https://fbref.com/en/players/f794e9ab/Christos-Mandas,f794e9ab,Big 5 combined
1553,Reinildo Mandava,MOZ,DF,Atlético Madrid,es La Liga,30-100,1994,7.5,62.5,4.27,25.3,29.1,8.53,0.53,62.5,1.60,0.80,50.0,0.80,50.0,27.1,127.1,69.3,1.33,1.87,0.13,1.33,0.13,32.4,1.73,https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava,c20bdcd7,Big 5 combined
1554,Aïssa Mandi,ALG,DF,Villarreal,es La Liga,32-191,1991,11.4,65.4,10.9,34.2,29.7,1.75,0.53,65.4,0.00,0.00,,0.00,,35.9,200.6,114.8,0.53,0.53,0.00,0.18,0.09,45.8,0.35,https://fbref.com/en/players/fbd6378b/Aissa-Mandi,fbd6378b,Big 5 combined
1555,Rolando Mandragora,ITA,MF,Fiorentina,it Serie A,26-306,1997,15.7,50.3,1.34,8.47,29.1,12.9,1.34,50.3,0.64,0.32,50.0,0.25,40.0,27.6,100.8,49.9,0.45,0.38,0.00,0.51,0.38,32.7,1.59,https://fbref.com/en/players/c7259b83/Rolando-Mandragora,c7259b83,Big 5 combined
1556,Orel Mangala,BEL,MF,Nott'ham Forest,eng Premier League,26-043,1998,17.4,47.1,2.64,14.1,27.1,6.67,0.52,47.1,1.72,0.75,43.3,0.75,43.3,24.7,120.5,55.2,0.75,0.63,0.06,0.98,1.03,30.4,0.80,https://fbref.com/en/players/a572e291/Orel-Mangala,a572e291,Big 5 combined
1557,Orel Mangala,BEL,MF,Lyon,fr Ligue 1,26-043,1998,2.9,54.1,1.38,7.59,31.0,15.5,1.72,54.1,2.07,0.69,33.3,0.69,33.3,40.0,212.4,82.8,2.07,1.72,0.00,1.72,0.69,39.7,5.17,https://fbref.com/en/players/a572e291/Orel-Mangala,a572e291,Big 5 combined
1558,Kostas Manolas,GRE,DF,Salernitana,it Serie A,32-321,1991,5.2,63.8,8.46,36.2,27.1,0.77,0.38,63.8,0.19,0.19,100.0,0.00,0.0,38.3,181.9,82.9,0.00,0.38,0.00,0.19,0.19,44.2,0.38,https://fbref.com/en/players/c707411f/Kostas-Manolas,c707411f,Big 5 combined
1559,Javier Manquillo,ESP,"DF,MF",Celta Vigo,es La Liga,29-361,1994,5.7,55.6,3.68,18.1,27.4,10.5,1.05,55.6,1.23,0.70,57.1,0.53,42.9,27.0,102.8,46.3,0.88,0.88,0.35,2.46,0.70,30.9,2.28,https://fbref.com/en/players/758dd7f0/Javier-Manquillo,758dd7f0,Big 5 combined
1560,Braydon Manu,GHA,MF,Darmstadt 98,de Bundesliga,27-033,1997,1.9,29.5,0.53,4.74,12.6,12.6,2.11,29.5,4.74,2.11,44.4,2.63,55.6,17.9,106.8,63.2,2.63,0.00,0.53,1.05,0.53,19.5,4.74,https://fbref.com/en/players/e9a97974/Braydon-Manu,e9a97974,Big 5 combined
1561,Benson Manuel,BEL,"MF,FW",Burnley,eng Premier League,27-033,1997,1.1,66.4,0.00,7.27,17.3,41.8,2.73,66.4,10.0,3.64,36.4,5.45,54.5,50.0,397.3,170.0,4.55,6.36,0.00,2.73,2.73,55.5,12.7,https://fbref.com/en/players/d7f99582/Benson-Manuel,d7f99582,Big 5 combined
1562,Faitout Maouassa,FRA,"DF,MF",Granada,es La Liga,25-299,1998,1.9,54.2,1.58,13.2,16.3,25.8,2.63,54.2,1.05,0.53,50.0,0.00,0.0,24.7,157.9,95.8,4.21,2.63,1.05,3.16,0.53,26.3,5.26,https://fbref.com/en/players/e54a9890/Faitout-Maouassa,e54a9890,Big 5 combined
1563,Faitout Maouassa,FRA,"MF,DF",Lens,fr Ligue 1,25-299,1998,0.8,52.5,3.75,13.8,13.8,25.0,5.00,52.5,2.50,1.25,50.0,1.25,50.0,26.3,175.0,77.5,2.50,0.00,2.50,0.00,5.00,25.0,2.50,https://fbref.com/en/players/e54a9890/Faitout-Maouassa,e54a9890,Big 5 combined
1564,Marcão,BRA,DF,Sevilla,es La Liga,27-330,1996,3.4,63.8,4.71,28.5,33.5,2.06,0.29,63.8,0.88,0.29,33.3,0.29,33.3,36.5,226.2,156.5,0.88,1.47,0.00,0.88,0.00,45.3,0.00,https://fbref.com/en/players/133faa84/Marcao,133faa84,Big 5 combined
1565,Solly March,ENG,"FW,DF",Brighton,eng Premier League,29-285,1994,6.2,54.2,1.94,11.5,19.8,23.4,2.90,54.2,2.90,1.29,44.4,1.29,44.4,31.9,157.3,79.2,2.26,1.13,0.48,1.29,1.61,34.0,7.10,https://fbref.com/en/players/bb5fbd2b/Solly-March,bb5fbd2b,Big 5 combined
1566,Riccardo Marchizza,ITA,DF,Frosinone,it Serie A,26-035,1998,12.8,50.3,2.97,17.9,20.5,12.0,1.25,50.3,0.63,0.23,37.5,0.39,62.5,23.9,88.9,43.8,0.47,0.23,0.08,0.70,0.08,29.1,3.05,https://fbref.com/en/players/91d0fabf/Riccardo-Marchizza,91d0fabf,Big 5 combined
1567,Gian Marco Ferrari,ITA,DF,Sassuolo,it Serie A,32-075,1992,21.2,62.0,6.60,26.1,32.7,3.30,1.08,62.0,0.19,0.09,50.0,0.05,25.0,37.2,208.6,133.8,1.27,0.61,0.00,0.52,0.05,41.3,0.24,https://fbref.com/en/players/8650af85/Gian-Marco-Ferrari,8650af85,Big 5 combined
1568,Óscar de Marcos,ESP,DF,Athletic Club,es La Liga,35-016,1989,22.1,70.5,2.31,14.5,35.3,21.0,1.40,70.5,0.95,0.27,28.6,0.68,71.4,34.5,139.9,79.5,1.95,1.63,0.23,0.59,0.27,40.8,4.71,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,9f323c71,Big 5 combined
1569,Alberto Marí,ESP,"FW,MF",Valencia,es La Liga,22-294,2001,1.1,44.5,0.91,6.36,14.5,23.6,6.36,44.5,1.82,0.91,50.0,0.91,50.0,22.7,82.7,55.5,0.91,0.91,0.91,6.36,0.91,26.4,5.45,https://fbref.com/en/players/44330c36/Alberto-Mari,44330c36,Big 5 combined
1570,José Mari,ESP,"MF,FW",Cádiz,es La Liga,36-146,1987,0.2,115.0,0.00,0.00,95.0,20.0,0.00,115.0,0.00,0.00,,0.00,,50.0,275.0,115.0,0.00,0.00,0.00,0.00,0.00,80.0,5.00,https://fbref.com/en/players/6f4c734d/Jose-Mari,6f4c734d,Big 5 combined
1571,Pablo Marí,ESP,DF,Monza,it Serie A,30-243,1993,25.3,66.8,10.6,36.4,29.1,1.46,0.67,66.8,0.28,0.20,71.4,0.04,14.3,40.4,181.3,88.5,0.08,0.24,0.00,0.28,0.00,47.0,0.04,https://fbref.com/en/players/aa54ec6f/Pablo-Mari,aa54ec6f,Big 5 combined
1572,José María Giménez,URU,DF,Atlético Madrid,es La Liga,29-101,1995,11.7,56.7,9.74,32.1,23.6,1.37,0.68,56.7,0.26,0.17,66.7,0.09,33.3,30.3,136.9,68.7,0.09,0.00,0.00,0.17,0.00,35.4,0.09,https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez,f0da930c,Big 5 combined
1573,Mariano,DOM,FW,Sevilla,es La Liga,30-273,1993,2.4,29.2,0.83,1.25,10.4,17.5,5.42,29.2,0.83,0.42,50.0,0.42,50.0,14.6,120.4,44.2,1.25,1.25,1.25,3.33,2.08,21.3,5.83,https://fbref.com/en/players/5c4dc0ff/Mariano,5c4dc0ff,Big 5 combined
1574,Mirko Marić,CRO,FW,Monza,it Serie A,28-350,1995,3.2,42.2,1.25,2.81,18.4,21.6,6.25,42.2,1.25,0.31,25.0,0.94,75.0,22.2,72.5,28.4,0.63,0.94,0.31,3.13,1.56,33.1,9.38,https://fbref.com/en/players/78338347/Mirko-Maric,78338347,Big 5 combined
1575,Rafa Marín,ESP,DF,Alavés,es La Liga,21-347,2002,24.2,48.3,8.06,25.9,21.2,1.61,0.87,48.3,0.21,0.12,60.0,0.04,20.0,23.5,132.4,81.2,0.50,0.17,0.00,0.41,0.17,25.8,0.21,https://fbref.com/en/players/3239a8ed/Rafa-Marin,3239a8ed,Big 5 combined
1576,Răzvan Marin,ROU,MF,Empoli,it Serie A,27-343,1996,17.1,56.0,1.81,11.7,30.5,14.3,0.76,56.0,1.52,0.76,50.0,0.70,46.2,27.4,135.6,60.9,0.94,0.82,0.29,1.23,0.76,33.3,1.35,https://fbref.com/en/players/7fac99d4/Razvan-Marin,7fac99d4,Big 5 combined
1577,Diego Mariño,ESP,GK,Almería,es La Liga,33-357,1990,1.0,32.0,26.0,32.0,0.00,0.00,0.00,32.0,0.00,0.00,,0.00,,22.0,94.0,53.0,0.00,0.00,0.00,0.00,0.00,20.0,0.00,https://fbref.com/en/players/d9235a45/Diego-Marino,d9235a45,Big 5 combined
1578,Guillermo Maripán,CHI,DF,Monaco,fr Ligue 1,29-360,1994,19.6,65.0,9.23,31.3,32.4,1.63,0.66,65.0,0.05,0.05,100.0,0.00,0.0,44.6,208.2,84.1,0.20,0.05,0.05,0.46,0.05,41.4,0.26,https://fbref.com/en/players/d9764034/Guillermo-Maripan,d9764034,Big 5 combined
1579,Mika Màrmol,ESP,DF,Las Palmas,es La Liga,21-303,2002,30.5,85.7,11.6,45.5,37.9,2.59,0.36,85.7,0.85,0.52,61.5,0.26,30.8,48.5,232.5,149.0,1.05,0.75,0.03,0.46,0.30,58.3,0.26,https://fbref.com/en/players/e7630876/Mika-Marmol,e7630876,Big 5 combined
1580,Omar Marmoush,EGY,"FW,MF",Eint Frankfurt,de Bundesliga,25-083,1999,22.6,36.5,0.22,2.52,15.9,19.0,5.88,36.4,4.16,1.37,33.0,2.48,59.6,25.1,181.3,81.7,3.27,1.95,1.59,4.07,2.35,27.4,6.46,https://fbref.com/en/players/0e0102eb/Omar-Marmoush,0e0102eb,Big 5 combined
1581,Marquinhos,BRA,"FW,MF",Nantes,fr Ligue 1,21-023,2003,1.7,58.2,1.76,10.0,24.7,23.5,4.71,58.2,4.12,2.35,57.1,1.76,42.9,38.8,181.2,67.6,1.18,1.18,0.59,1.18,3.53,35.3,6.47,https://fbref.com/en/players/59878425/Marquinhos,59878425,Big 5 combined
1582,Marquinhos,BRA,DF,Paris S-G,fr Ligue 1,29-352,1994,16.1,115.0,10.7,37.6,70.4,7.70,0.56,115.0,0.06,0.06,100.0,0.00,0.0,97.7,537.8,317.2,1.12,1.55,0.00,0.37,0.12,93.4,0.19,https://fbref.com/en/players/d5f2f82b/Marquinhos,d5f2f82b,Big 5 combined
1583,Unai Marrero,ESP,GK,Real Sociedad,es La Liga,22-204,2001,1.6,28.8,20.0,26.9,1.88,0.00,0.00,28.8,0.00,0.00,,0.00,,13.8,58.8,34.4,0.00,0.00,0.00,0.00,0.00,6.88,0.00,https://fbref.com/en/players/f0fe87dc/Unai-Marrero,f0fe87dc,Big 5 combined
1584,Agustín Martegani,ARG,MF,Salernitana,it Serie A,23-346,2000,8.1,45.8,1.73,8.02,24.8,14.0,1.11,45.8,2.59,1.48,57.1,0.62,23.8,26.5,164.0,83.7,1.73,1.85,0.37,1.23,1.11,29.5,2.72,https://fbref.com/en/players/591bf874/Agustin-Martegani,591bf874,Big 5 combined
1585,Eric Martel,GER,MF,Köln,de Bundesliga,22-001,2002,24.8,55.0,4.35,18.4,29.0,7.98,1.21,55.0,0.69,0.28,41.2,0.24,35.3,24.8,110.2,40.3,0.73,0.52,0.04,0.93,0.85,30.0,1.17,https://fbref.com/en/players/92a16062/Eric-Martel,92a16062,Big 5 combined
1586,Roger Martí,ESP,FW,Cádiz,es La Liga,33-118,1991,12.1,30.9,0.50,2.48,16.3,12.8,3.72,30.9,0.41,0.17,40.0,0.17,40.0,18.6,76.2,26.9,0.50,0.99,0.08,3.14,1.24,21.6,4.05,https://fbref.com/en/players/0ae4e09a/Roger-Marti,0ae4e09a,Big 5 combined
1587,Anthony Martial,FRA,FW,Manchester Utd,eng Premier League,28-147,1995,5.0,35.6,0.60,2.20,16.2,17.8,3.20,35.6,1.20,0.40,33.3,0.40,33.3,21.0,88.8,33.6,1.20,1.20,0.20,2.80,2.00,29.6,7.20,https://fbref.com/en/players/8b788c01/Anthony-Martial,8b788c01,Big 5 combined
1588,Aarón Martín,ESP,DF,Genoa,it Serie A,27-008,1997,10.8,45.4,1.48,10.6,17.7,17.5,0.65,45.4,1.11,0.56,50.0,0.56,50.0,23.1,107.6,50.3,1.48,1.02,0.28,0.74,0.19,26.1,5.00,https://fbref.com/en/players/2f3e911a/Aaron-Martin,2f3e911a,Big 5 combined
1589,Iván Martín,ESP,"MF,FW",Girona,es La Liga,25-076,1999,25.5,60.5,1.76,11.4,33.5,16.4,1.88,60.5,1.76,1.18,66.7,0.59,33.3,40.5,258.4,117.0,2.39,1.92,0.31,2.08,1.29,48.4,3.45,https://fbref.com/en/players/ae48c5cb/Ivan-Martin,ae48c5cb,Big 5 combined
1590,Jonas Martin,FRA,MF,Brest,fr Ligue 1,34-021,1990,11.7,78.8,3.68,16.7,49.9,13.1,1.37,78.8,0.85,0.43,50.0,0.43,50.0,57.4,287.8,128.9,1.79,1.54,0.17,1.03,0.94,53.2,2.48,https://fbref.com/en/players/468fdbad/Jonas-Martin,468fdbad,Big 5 combined
1591,Gabriel Martinelli,BRA,FW,Arsenal,eng Premier League,22-317,2001,21.1,54.9,0.52,4.31,13.7,37.4,8.48,54.9,5.07,1.75,34.6,2.70,53.3,37.7,254.4,129.0,5.36,2.18,3.36,2.32,1.75,42.3,14.8,https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli,48a5a5d6,Big 5 combined
1592,Arnau Martinez,ESP,DF,Girona,es La Liga,21-005,2003,11.5,69.6,5.91,26.1,34.7,9.04,0.52,69.6,0.52,0.17,33.3,0.35,66.7,38.6,209.7,121.5,2.26,1.04,0.09,1.30,0.70,46.6,1.22,https://fbref.com/en/players/c3e66ffe/Arnau-Martinez,c3e66ffe,Big 5 combined
1593,Emiliano Martínez,ARG,GK,Aston Villa,eng Premier League,31-241,1992,32.5,44.9,34.0,44.1,0.77,0.00,0.00,44.9,0.00,0.00,,0.00,,27.7,129.9,81.0,0.00,0.00,0.00,0.03,0.00,23.7,0.00,https://fbref.com/en/players/7956236f/Emiliano-Martinez,7956236f,Big 5 combined
