Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
2099,Antoine Mendy,FRA,DF,Nice,fr Ligue 1,19-339,2004,7,237,34,8.5,2.6,0.77,74,0.00,1.92,18,4.62,2.29,2.31,1.15,1.15,+1.14,+0.86,2.42,1.42,1.00,+0.99,+0.62,https://fbref.com/en/players/3322e296/Antoine-Mendy,3322e296,Big 5 combined
2100,Benjamin Mendy,FRA,DF,Lorient,fr Ligue 1,29-288,1994,12,512,43,18.4,5.7,0.70,75,0.00,1.40,26,0.00,0.17,1.58,3.68,-2.11,-2.11,-1.64,1.39,2.51,-1.12,-1.13,-0.67,https://fbref.com/en/players/5271c8f1/Benjamin-Mendy,5271c8f1,Big 5 combined
2101,Ferland Mendy,FRA,DF,Real Madrid,es La Liga,28-327,1995,21,1540,73,51.9,17.1,1.11,79,0.58,0.12,18,0.12,2.48,2.28,0.53,1.75,+1.75,+0.56,1.82,0.83,0.99,+0.99,+0.13,https://fbref.com/en/players/3cefcaef/Ferland-Mendy,3cefcaef,Big 5 combined
2102,Formose Mendy,SEN,DF,Lorient,fr Ligue 1,23-119,2001,16,1137,71,40.8,12.6,0.95,86,0.79,0.32,26,0.63,0.94,1.19,1.35,-0.16,-0.16,+1.04,0.98,1.37,-0.39,-0.39,+0.32,https://fbref.com/en/players/c21983bf/Formose-Mendy,c21983bf,Big 5 combined
2103,Nampalys Mendy,SEN,MF,Lens,fr Ligue 1,31-312,1992,13,782,60,28.0,8.7,1.15,73,0.23,0.34,16,0.92,1.69,1.15,0.80,0.34,+0.35,+0.21,1.53,1.20,0.33,+0.34,+0.35,https://fbref.com/en/players/1598599e/Nampalys-Mendy,1598599e,Big 5 combined
2104,Nobel Mendy,FRA,DF,Betis,es La Liga,19-240,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,https://fbref.com/en/players/7e64e657/Nobel-Mendy,7e64e657,Big 5 combined
2105,Teden Mengi,ENG,DF,Luton Town,eng Premier League,22-000,2002,27,2273,84,72.2,25.3,0.99,88,0.91,0.08,34,0.12,0.78,1.38,2.17,-0.79,-0.79,+0.13,1.02,1.98,-0.96,-0.97,-0.08,https://fbref.com/en/players/91748070/Teden-Mengi,91748070,Big 5 combined
2106,Chris Mepham,WAL,DF,Bournemouth,eng Premier League,26-177,1997,10,617,62,19.6,6.9,0.87,83,0.72,0.58,31,2.03,1.60,1.88,2.32,-0.43,-0.44,-0.15,1.72,1.41,0.33,+0.33,+0.40,https://fbref.com/en/players/fed96827/Chris-Mepham,fed96827,Big 5 combined
2107,Jorge Meré,ESP,DF,Cádiz,es La Liga,27-013,1997,10,673,67,22.7,7.5,1.07,78,0.40,0.27,25,2.13,0.80,0.80,1.60,-0.80,-0.80,-0.14,0.75,1.27,-0.51,-0.51,-0.07,https://fbref.com/en/players/9f979eb2/Jorge-Mere,9f979eb2,Big 5 combined
2108,Alex Meret,ITA,GK,Napoli,it Serie A,27-039,1997,27,2413,89,78.9,26.8,1.01,89,0.97,0.00,,0.04,1.48,1.72,1.31,0.41,+0.41,+0.69,1.81,1.09,0.73,+0.73,+0.40,https://fbref.com/en/players/9413b19f/Alex-Meret,9413b19f,Big 5 combined
2109,Mikel Merino,ESP,MF,Real Sociedad,es La Liga,27-313,1996,28,2122,76,71.4,23.6,0.97,85,0.68,0.21,34,0.08,1.68,1.57,0.89,0.68,+0.68,+1.21,1.25,1.03,0.22,+0.22,-0.02,https://fbref.com/en/players/d080ed5e/Mikel-Merino,d080ed5e,Big 5 combined
2110,Quentin Merlin,FRA,DF,Marseille,fr Ligue 1,21-350,2002,8,603,75,21.6,6.7,1.04,81,0.60,0.15,33,0.15,1.25,1.64,1.64,0.00,0.00,-0.37,1.51,1.34,0.16,+0.17,-0.54,https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,0bfca6a1,Big 5 combined
2111,Quentin Merlin,FRA,DF,Nantes,fr Ligue 1,21-350,2002,16,1283,80,46.0,14.3,1.05,84,0.49,0.07,18,0.00,0.88,1.26,1.75,-0.49,-0.49,+0.29,1.20,1.73,-0.53,-0.54,-0.08,https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,0bfca6a1,Big 5 combined
2112,Rafik Messali,FRA,MF,Toulouse,fr Ligue 1,21-002,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/bbc86fc4/Rafik-Messali,bbc86fc4,Big 5 combined
2113,Junior Messias,BRA,"MF,DF",Genoa,it Serie A,32-353,1991,18,1053,59,35.5,11.7,1.11,76,0.34,0.43,12,0.00,1.06,1.20,1.03,0.17,+0.17,+0.50,1.10,1.21,-0.11,-0.11,+0.05,https://fbref.com/en/players/f49c4ae9/Junior-Messias,f49c4ae9,Big 5 combined
2114,Amine Messoussa,FRA,FW,Lille,fr Ligue 1,19-201,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/f29131b5/Amine-Messoussa,f29131b5,Big 5 combined
2115,Sergio Mestre,ESP,GK,Atlético Madrid,es La Liga,19-077,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/b2cd9dff/Sergio-Mestre,b2cd9dff,Big 5 combined
2116,Jenson Metcalfe,ENG,MF,Everton,eng Premier League,19-237,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,https://fbref.com/en/players/5c2595e2/Jenson-Metcalfe,5c2595e2,Big 5 combined
2117,Thomas Meunier,BEL,DF,Dortmund,de Bundesliga,32-231,1991,8,586,73,21.0,6.5,1.08,83,0.62,0.15,7,0.31,1.63,2.00,0.77,1.23,+1.23,+0.74,2.20,1.31,0.89,+0.89,+0.74,https://fbref.com/en/players/e162b013/Thomas-Meunier,e162b013,Big 5 combined
2118,Bastien Meupiyou,FRA,DF,Nantes,fr Ligue 1,18-042,2006,1,8,8,0.3,0.1,10.0,8,0.00,0.00,,30.0,1.00,0.00,10.0,-10.00,-11.25,-10.64,1.00,8.00,-7.00,-7.85,-7.38,https://fbref.com/en/players/dcd94cdb/Bastien-Meupiyou,dcd94cdb,Big 5 combined
2119,Alexander Meyer,GER,GK,Dortmund,de Bundesliga,33-017,1991,7,605,86,21.7,6.7,0.90,90,0.90,0.15,65,3.58,2.00,2.24,0.90,1.34,+1.34,+0.89,1.72,1.10,0.61,+0.62,+0.39,https://fbref.com/en/players/b56dd813/Alexander-Meyer,b56dd813,Big 5 combined
2120,Omenuke Mfulu,COD,"MF,FW",Las Palmas,es La Liga,30-041,1994,5,82,16,2.8,0.9,1.11,45,0.00,4.44,9,14.4,0.83,1.11,3.33,-2.22,-2.20,-1.91,0.33,3.22,-2.89,-2.94,-2.32,https://fbref.com/en/players/bdc14559/Omenuke-Mfulu,bdc14559,Big 5 combined
2121,Lucas Michal,FRA,FW,Monaco,fr Ligue 1,18-313,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/5117db28/Lucas-Michal,5117db28,Big 5 combined
2122,Lucas Michel,FRA,MF,Monaco,fr Ligue 1,20-010,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,,https://fbref.com/en/players/73be1fdd/Lucas-Michel,73be1fdd,Big 5 combined
2123,Sven Michel,GER,"FW,MF",Augsburg,de Bundesliga,33-290,1990,20,550,28,19.7,6.1,0.82,64,0.00,2.46,15,1.15,1.20,1.97,2.46,-0.49,-0.49,-0.45,1.93,2.02,-0.08,-0.07,+0.20,https://fbref.com/en/players/1e274a0a/Sven-Michel,1e274a0a,Big 5 combined
2124,Miguel,ESP,"FW,MF",Alavés,es La Liga,24-240,1999,3,65,22,2.2,0.7,1.43,56,0.00,2.86,5,0.00,1.00,0.00,2.86,-2.86,-2.77,-2.61,0.43,1.43,-1.00,-0.94,-0.97,https://fbref.com/en/players/6763373d/Miguel,6763373d,Big 5 combined
2125,Miguelito,ESP,DF,Mallorca,es La Liga,23-109,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/ebb24144/Miguelito,ebb24144,Big 5 combined
2126,Georges Mikautadze,GEO,FW,Metz,fr Ligue 1,23-182,2000,17,1478,87,53.0,16.4,1.04,87,0.61,0.00,,0.00,1.00,1.16,1.83,-0.67,-0.67,-0.12,1.15,1.74,-0.59,-0.58,-0.05,https://fbref.com/en/players/4788cb6b/Georges-Mikautadze,4788cb6b,Big 5 combined
2127,Nikola Milenković,SRB,DF,Fiorentina,it Serie A,26-201,1997,30,2175,73,73.2,24.2,0.95,90,0.95,0.29,15,0.12,1.53,1.61,1.20,0.41,+0.41,+0.53,1.36,1.28,0.09,+0.09,-0.12,https://fbref.com/en/players/bee704fc/Nikola-Milenkovic,bee704fc,Big 5 combined
2128,Lewis Miley,ENG,MF,Newcastle Utd,eng Premier League,17-365,2006,17,1202,71,39.3,13.4,1.04,80,0.45,0.22,29,0.07,1.18,1.94,2.16,-0.22,-0.22,-1.29,1.68,2.25,-0.57,-0.57,-1.35,https://fbref.com/en/players/2c6835e5/Lewis-Miley,2c6835e5,Big 5 combined
2129,Arkadiusz Milik,POL,FW,Juventus,it Serie A,30-062,1994,28,791,28,25.8,8.8,0.68,71,0.23,2.50,17,0.00,2.11,2.05,0.68,1.36,+1.37,+1.01,1.78,0.52,1.26,+1.27,+0.76,https://fbref.com/en/players/85613cf0/Arkadiusz-Milik,85613cf0,Big 5 combined
2130,Vanja Milinković-Savić,SRB,GK,Torino,it Serie A,27-070,1997,33,2970,90,97.1,33.0,1.00,90,1.00,0.00,,0.03,1.39,0.94,0.88,0.06,+0.06,+2.06,1.03,0.91,0.13,+0.13,+1.20,https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic,9fa26bc2,Big 5 combined
2131,Éder Militão,BRA,DF,Real Madrid,es La Liga,26-103,1998,5,158,32,5.3,1.8,1.11,70,0.56,1.67,6,0.00,3.00,2.22,0.00,2.22,+2.28,+0.84,0.94,0.67,0.33,+0.32,-0.65,https://fbref.com/en/players/2784f898/Eder-Militao,2784f898,Big 5 combined
2132,Luis Milla,ESP,MF,Getafe,es La Liga,29-206,1994,22,1773,81,59.7,19.7,1.02,86,0.71,0.10,23,0.00,1.32,1.27,1.47,-0.20,-0.20,-0.20,1.35,1.46,-0.12,-0.12,+0.37,https://fbref.com/en/players/19c36442/Luis-Milla,19c36442,Big 5 combined
2133,Enzo Millot,FRA,MF,Stuttgart,de Bundesliga,21-288,2002,29,2068,71,74.1,23.0,1.09,79,0.30,0.17,24,0.04,2.21,2.17,1.09,1.09,+1.09,+0.22,2.13,1.08,1.05,+1.05,+0.17,https://fbref.com/en/players/f76022e7/Enzo-Millot,f76022e7,Big 5 combined
2134,James Milner,ENG,"DF,MF",Brighton,eng Premier League,38-117,1986,15,773,52,25.3,8.6,1.28,63,0.12,0.47,20,0.23,1.47,1.16,1.40,-0.23,-0.23,-0.23,1.67,1.41,0.26,+0.26,+0.36,https://fbref.com/en/players/2f90f6b8/James-Milner,2f90f6b8,Big 5 combined
2135,Jovan Milošević,SRB,"FW,MF",Stuttgart,de Bundesliga,18-274,2005,5,28,6,1.0,0.3,0.00,,0.00,16.7,6,33.3,2.40,0.00,0.00,0.00,0.00,-1.04,1.67,0.00,1.67,+1.59,+0.59,https://fbref.com/en/players/fdbe14c8/Jovan-Milosevic,fdbe14c8,Big 5 combined
2136,Marko Milovanović,SRB,"FW,MF",Almería,es La Liga,20-270,2003,11,308,28,10.4,3.4,0.59,57,0.00,2.65,22,3.53,0.55,0.88,2.06,-1.18,-1.17,-0.12,1.09,1.47,-0.38,-0.39,-0.05,https://fbref.com/en/players/1fda2b14/Marko-Milovanovic,1fda2b14,Big 5 combined
2137,Kim Min-jae,KOR,DF,Bayern Munich,de Bundesliga,27-167,1996,23,1806,79,64.7,20.1,1.00,87,0.85,0.15,24,0.15,2.22,2.89,1.24,1.64,+1.64,0.00,2.58,0.85,1.73,+1.73,+0.04,https://fbref.com/en/players/e0f8151c/Kim-Min-jae,e0f8151c,Big 5 combined
2138,Yerry Mina,COL,"DF,MF",Fiorentina,it Serie A,29-220,1994,4,44,11,1.5,0.5,0.00,,0.00,8.00,11,20.0,2.25,0.00,0.00,0.00,0.00,-0.28,0.60,0.20,0.40,+0.43,+0.32,https://fbref.com/en/players/6d5701f2/Yerry-Mina,6d5701f2,Big 5 combined
2139,Yerry Mina,COL,DF,Cagliari,it Serie A,29-220,1994,10,858,86,28.9,9.5,1.05,86,0.84,0.00,,0.00,1.40,1.58,1.79,-0.21,-0.21,+0.56,1.11,1.33,-0.23,-0.23,+0.10,https://fbref.com/en/players/6d5701f2/Yerry-Mina,6d5701f2,Big 5 combined
2140,Takumi Minamino,JPN,MF,Monaco,fr Ligue 1,29-105,1995,28,2014,72,72.2,22.4,1.07,81,0.40,0.18,18,0.00,1.93,1.83,1.16,0.67,+0.67,+0.44,1.62,1.23,0.39,+0.39,+0.56,https://fbref.com/en/players/f833a830/Takumi-Minamino,f833a830,Big 5 combined
2141,Lucas Mincarelli,FRA,DF,Montpellier,fr Ligue 1,20-116,2004,12,900,75,32.3,10.0,1.10,81,0.60,0.10,5,0.90,1.25,1.10,1.20,-0.10,-0.10,+0.04,1.40,1.33,0.07,+0.07,+0.02,https://fbref.com/en/players/02b3733e/Lucas-Mincarelli,02b3733e,Big 5 combined
2142,Tyrone Mings,ENG,DF,Aston Villa,eng Premier League,31-048,1993,1,30,30,1.0,0.3,3.33,30,0.00,0.00,,0.00,0.00,3.33,6.67,-3.33,-3.00,-3.63,1.00,3.67,-2.67,-2.43,-2.63,https://fbref.com/en/players/8397a50c/Tyrone-Mings,8397a50c,Big 5 combined
2143,Óscar Mingueza,ESP,"DF,MF",Celta Vigo,es La Liga,24-353,1999,33,2593,79,87.3,28.8,1.01,86,0.76,0.14,27,0.00,0.94,1.11,1.46,-0.35,-0.35,+0.37,1.33,1.47,-0.14,-0.14,+0.36,https://fbref.com/en/players/056269d7/Oscar-Mingueza,056269d7,Big 5 combined
2144,Ignasi Miquel,ESP,DF,Granada,es La Liga,31-215,1992,32,2812,88,94.7,31.2,0.99,89,0.96,0.03,67,0.00,0.63,1.03,1.92,-0.90,-0.90,-2.61,1.04,1.61,-0.57,-0.57,-1.73,https://fbref.com/en/players/174f09a6/Ignasi-Miquel,174f09a6,Big 5 combined
2145,Rafa Mir,ESP,"FW,MF",Sevilla,es La Liga,26-317,1997,15,391,26,13.2,4.3,0.70,73,0.23,2.79,14,1.86,0.93,1.16,0.93,0.23,+0.23,+0.40,1.40,1.56,-0.14,-0.14,+0.15,https://fbref.com/en/players/bbf5c11b/Rafa-Mir,bbf5c11b,Big 5 combined
2146,Ignacio Miramon,ARG,MF,Lille,fr Ligue 1,20-323,2003,2,39,20,1.4,0.4,2.50,38,0.00,2.50,1,42.5,1.50,0.00,5.00,-5.00,-4.62,-5.27,0.50,2.50,-1.75,-1.67,-2.10,https://fbref.com/en/players/e43a4083/Ignacio-Miramon,e43a4083,Big 5 combined
2147,Aleksei Miranchuk,RUS,"MF,FW",Atalanta,it Serie A,28-196,1995,22,986,45,33.2,11.0,0.91,77,0.27,1.09,18,0.73,1.86,2.00,0.82,1.18,+1.19,+0.78,1.76,1.27,0.49,+0.50,+0.23,https://fbref.com/en/players/a9aa0d1d/Aleksei-Miranchuk,a9aa0d1d,Big 5 combined
2148,Juan Miranda,ESP,DF,Betis,es La Liga,24-102,2000,21,1550,74,52.2,17.2,0.99,83,0.64,0.23,36,0.52,1.48,1.10,1.05,0.06,+0.06,-0.01,1.23,1.01,0.22,+0.22,+0.86,https://fbref.com/en/players/ead61f73/Juan-Miranda,ead61f73,Big 5 combined
2149,Kevin Miranda,ITA,DF,Sassuolo,it Serie A,21-051,2003,1,14,14,0.5,0.2,0.00,,0.00,5.00,14,5.00,0.00,0.00,10.0,-10.00,-12.86,-12.15,0.00,1.50,-1.50,-2.02,-1.41,https://fbref.com/en/players/9bd97418/Kevin-Miranda,9bd97418,Big 5 combined
2150,Antonio Mirante,ITA,GK,Milan,it Serie A,40-297,1983,1,90,90,2.9,1.0,1.00,90,1.00,0.00,,26.0,0.00,0.00,1.00,-1.00,-1.00,-1.79,0.30,1.40,-1.10,-1.12,-1.60,https://fbref.com/en/players/30223b33/Antonio-Mirante,30223b33,Big 5 combined
2151,Fabio Miretti,ITA,MF,Juventus,it Serie A,20-271,2003,22,1009,46,33.0,11.2,1.34,60,0.00,0.63,16,0.98,1.91,1.52,0.54,0.98,+0.98,+0.54,1.59,0.71,0.88,+0.88,+0.26,https://fbref.com/en/players/34693494/Fabio-Miretti,34693494,Big 5 combined
2152,Filippo Missori,ITA,DF,Sassuolo,it Serie A,20-037,2004,5,129,26,4.2,1.4,0.00,,0.00,3.57,26,17.9,0.60,0.00,3.57,-3.57,-3.49,-2.84,0.29,2.21,-1.93,-1.88,-1.32,https://fbref.com/en/players/2d3d7c0d/Filippo-Missori,2d3d7c0d,Big 5 combined
2153,Tyrick Mitchell,ENG,"DF,MF",Crystal Palace,eng Premier League,24-242,1999,34,2955,87,93.8,32.8,1.04,87,0.88,0.00,,0.00,1.18,1.25,1.65,-0.40,-0.40,-0.86,1.18,1.42,-0.24,-0.24,-0.37,https://fbref.com/en/players/5cbd1eb0/Tyrick-Mitchell,5cbd1eb0,Big 5 combined
2154,Kaoru Mitoma,JPN,FW,Brighton,eng Premier League,26-346,1997,19,1486,78,48.6,16.5,0.91,88,0.73,0.24,42,0.00,1.42,1.94,1.64,0.30,+0.30,+0.70,1.77,1.44,0.33,+0.32,+0.66,https://fbref.com/en/players/74618572/Kaoru-Mitoma,74618572,Big 5 combined
2155,Aleksandar Mitrović,SRB,FW,Fulham,eng Premier League,29-227,1994,1,33,33,1.0,0.4,0.00,,0.00,2.50,33,0.00,3.00,2.50,0.00,2.50,+2.73,+2.87,3.00,1.50,1.75,+1.79,+2.06,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,3925dbd6,Big 5 combined
2156,Stefan Mitrović,SRB,"FW,MF",Hellas Verona,it Serie A,21-259,2002,9,318,35,10.4,3.5,0.86,54,0.00,1.71,26,0.57,1.22,0.86,0.57,0.29,+0.28,+0.78,0.86,1.17,-0.34,-0.33,+0.07,https://fbref.com/en/players/232b3da4/Stefan-Mitrovic,232b3da4,Big 5 combined
2157,Stefan Mitrović,SRB,DF,Getafe,es La Liga,33-344,1990,11,699,64,23.5,7.8,1.15,75,0.64,0.26,11,1.28,1.18,1.15,1.41,-0.26,-0.26,-0.18,0.74,1.21,-0.46,-0.46,-0.25,https://fbref.com/en/players/e6777e6b/Stefan-Mitrovic,e6777e6b,Big 5 combined
2158,Maximilian Mittelstädt,GER,DF,Stuttgart,de Bundesliga,27-043,1997,29,1923,66,68.9,21.4,0.98,85,0.65,0.37,18,0.09,2.10,2.24,1.12,1.12,+1.12,+0.29,2.17,1.09,1.07,+1.08,+0.24,https://fbref.com/en/players/88d4144a/Maximilian-Mittelstadt,88d4144a,Big 5 combined
2159,Henrikh Mkhitaryan,ARM,MF,Inter,it Serie A,35-100,1989,34,2663,78,87.0,29.6,1.11,80,0.47,0.03,37,0.00,2.62,2.43,0.54,1.89,+1.89,+0.31,2.06,0.78,1.28,+1.28,-0.21,https://fbref.com/en/players/dd0daf32/Henrikh-Mkhitaryan,dd0daf32,Big 5 combined
2160,Marko Mladenović,SRB,MF,Eint Frankfurt,de Bundesliga,19-091,2005,1,6,6,0.2,0.1,0.00,,0.00,10.0,6,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,0.00,0.00,0.00,0.00,+0.22,https://fbref.com/en/players/6510ee8d/Marko-Mladenovic,6510ee8d,Big 5 combined
2161,Jakub Moder,POL,MF,Brighton,eng Premier League,25-023,1999,14,501,36,16.4,5.6,0.89,70,0.00,1.61,17,1.61,1.36,1.07,1.96,-0.89,-0.90,-1.00,1.04,2.02,-0.98,-0.98,-1.15,https://fbref.com/en/players/f230bc30/Jakub-Moder,f230bc30,Big 5 combined
2162,Luka Modrić,CRO,MF,Real Madrid,es La Liga,38-234,1985,28,1431,51,48.2,15.9,0.94,77,0.19,0.82,22,0.25,2.46,2.01,0.75,1.26,+1.26,-0.44,1.79,0.86,0.94,+0.94,+0.02,https://fbref.com/en/players/6025fab1/Luka-Modric,6025fab1,Big 5 combined
2163,Max Moerstedt,GER,FW,Hoffenheim,de Bundesliga,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,https://fbref.com/en/players/710045fb/Max-Moerstedt,710045fb,Big 5 combined
2164,Terem Moffi,NGA,FW,Nice,fr Ligue 1,24-341,1999,27,1796,67,64.4,20.0,1.05,79,0.25,0.30,24,0.00,1.74,1.20,0.60,0.60,+0.60,+0.69,1.44,0.99,0.43,+0.44,+0.06,https://fbref.com/en/players/065dc209/Terem-Moffi,065dc209,Big 5 combined
2165,Mostafa Mohamed,EGY,FW,Nantes,fr Ligue 1,26-154,1997,27,1893,70,67.8,21.0,1.10,75,0.19,0.19,44,0.00,0.93,0.95,1.48,-0.52,-0.52,+0.38,0.93,1.57,-0.64,-0.64,-0.46,https://fbref.com/en/players/595e6f3e/Mostafa-Mohamed,595e6f3e,Big 5 combined
2166,Kudus Mohammed,GHA,"FW,MF",West Ham,eng Premier League,23-272,2000,30,2214,74,70.3,24.6,0.98,88,0.61,0.24,17,0.00,1.33,1.54,2.11,-0.57,-0.57,-1.05,1.29,1.74,-0.45,-0.45,+0.11,https://fbref.com/en/players/b62878a5/Kudus-Mohammed,b62878a5,Big 5 combined
2167,Dion Moise Sahi,CIV,"MF,FW",Strasbourg,fr Ligue 1,22-132,2001,16,540,34,19.4,6.0,1.00,62,0.00,1.67,17,0.67,1.00,1.00,1.50,-0.50,-0.50,-0.22,1.47,1.37,0.10,+0.10,+0.17,https://fbref.com/en/players/cdc4458b/Dion-Moise-Sahi,cdc4458b,Big 5 combined
2168,Johan Mojica,COL,"DF,FW",Osasuna,es La Liga,31-253,1992,25,1656,66,55.8,18.4,0.98,83,0.65,0.38,23,0.16,1.16,1.03,1.58,-0.54,-0.54,-0.41,1.03,1.36,-0.34,-0.33,-0.27,https://fbref.com/en/players/608f2092/Johan-Mojica,608f2092,Big 5 combined
2169,Horaţiu Moldovan,ROU,GK,Atlético Madrid,es La Liga,26-101,1998,0,,,,,0,,0,0,,13,,,,,,,,,,,,https://fbref.com/en/players/771ded26/Horatiu-Moldovan,771ded26,Big 5 combined
2170,Alberto Moleiro,ESP,"FW,MF",Las Palmas,es La Liga,20-213,2003,23,1405,61,47.3,15.6,1.09,74,0.38,0.38,24,0.00,1.13,1.28,1.47,-0.19,-0.19,+0.27,0.95,1.67,-0.72,-0.72,-0.05,https://fbref.com/en/players/c2c8897d/Alberto-Moleiro,c2c8897d,Big 5 combined
2171,Nahuel Molina,ARG,DF,Atlético Madrid,es La Liga,26-024,1998,29,1808,62,60.9,20.1,0.95,76,0.40,0.50,37,0.10,1.86,1.94,1.04,0.90,+0.90,+0.51,1.69,1.03,0.65,+0.66,+0.15,https://fbref.com/en/players/23610943/Nahuel-Molina,23610943,Big 5 combined
2172,Florent Mollet,FRA,"MF,FW",Nantes,fr Ligue 1,32-163,1991,26,1990,77,71.3,22.1,1.04,83,0.50,0.14,25,0.09,0.96,0.90,1.45,-0.54,-0.54,+0.36,1.11,1.38,-0.27,-0.27,+0.76,https://fbref.com/en/players/7e82a78f/Florent-Mollet,7e82a78f,Big 5 combined
2173,Jon Moncayola,ESP,MF,Osasuna,es La Liga,25-353,1998,29,1641,57,55.3,18.2,1.04,77,0.33,0.55,18,0.11,1.21,1.21,1.59,-0.38,-0.38,-0.05,1.02,1.48,-0.46,-0.46,-0.55,https://fbref.com/en/players/9939e168/Jon-Moncayola,9939e168,Big 5 combined
2174,Enzo Mongo,FRA,DF,Nantes,fr Ligue 1,19-022,2005,1,10,10,0.4,0.1,0.00,,0.00,10.0,10,20.0,3.00,0.00,10.0,-10.00,-9.00,-8.38,0.00,3.00,-3.00,-2.92,-2.43,https://fbref.com/en/players/575b1a7b/Enzo-Mongo,575b1a7b,Big 5 combined
2175,Eric Monjonell,ESP,DF,Girona,es La Liga,22-136,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/42593c71/Eric-Monjonell,42593c71,Big 5 combined
2176,Ilario Monterisi,ITA,DF,Frosinone,it Serie A,22-133,2001,22,1459,66,47.7,16.2,0.99,84,0.80,0.37,19,0.49,1.00,1.17,2.16,-0.99,-0.99,-0.76,1.15,1.58,-0.43,-0.43,-0.06,https://fbref.com/en/players/31b252fc/Ilario-Monterisi,31b252fc,Big 5 combined
2177,Rubén Montero,ESP,GK,Alavés,es La Liga,18-246,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,https://fbref.com/en/players/e4bf75c5/Ruben-Montero,e4bf75c5,Big 5 combined
2178,César Montes,MEX,DF,Almería,es La Liga,27-066,1997,18,1518,84,51.1,16.9,1.07,84,0.83,0.00,,0.41,0.44,0.83,2.13,-1.30,-1.30,-0.50,1.36,1.53,-0.17,-0.17,+0.36,https://fbref.com/en/players/28e957d7/Cesar-Montes,28e957d7,Big 5 combined
2179,Gonzalo Montiel,ARG,DF,Nott'ham Forest,eng Premier League,27-120,1997,11,558,51,17.7,6.2,0.81,74,0.16,0.97,32,1.61,1.09,1.13,1.29,-0.16,-0.16,+0.43,1.40,1.10,0.31,+0.31,+0.49,https://fbref.com/en/players/374d5158/Gonzalo-Montiel,374d5158,Big 5 combined
2180,Gonzalo Montiel,ARG,DF,Sevilla,es La Liga,27-120,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/374d5158/Gonzalo-Montiel,374d5158,Big 5 combined
2181,Lorenzo Montipò,ITA,GK,Hellas Verona,it Serie A,28-070,1996,34,3060,90,100.0,34.0,1.00,90,1.00,0.00,,0.00,0.91,0.91,1.32,-0.41,-0.41,,0.91,1.31,-0.39,-0.39,,https://fbref.com/en/players/c1d95617/Lorenzo-Montipo,c1d95617,Big 5 combined
2182,Kieffer Moore,WAL,"FW,MF",Bournemouth,eng Premier League,31-266,1992,8,108,14,3.4,1.2,0.00,,0.00,6.67,14,6.67,0.88,2.50,1.67,0.83,+0.83,+1.19,3.92,2.08,1.83,+1.85,+1.92,https://fbref.com/en/players/01ce9e70/Kieffer-Moore,01ce9e70,Big 5 combined
2183,Alejandro Morata,ESP,DF,Cádiz,es La Liga,17-299,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/25333763/Alejandro-Morata,25333763,Big 5 combined
2184,Álvaro Morata,ESP,FW,Atlético Madrid,es La Liga,31-190,1992,28,1785,64,60.1,19.8,1.06,74,0.25,0.35,34,0.05,1.86,1.87,1.11,0.76,+0.76,+0.15,1.61,1.17,0.44,+0.44,-0.38,https://fbref.com/en/players/129af0db/Alvaro-Morata,129af0db,Big 5 combined
2185,Diego Moreira,POR,MF,Chelsea,eng Premier League,19-268,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/12de1b0d/Diego-Moreira,12de1b0d,Big 5 combined
